Seccion,Circuito,Nombre Seccion,Nombre Circuito,Electores 2007,Electores 2011,Electores 2013,Electores 2015,Electores 2017
2,15,CALAMUCHITA,AMBOY,271,254,253,240,253
2,16,CALAMUCHITA,ATHOS PAMPA,210,169,130,151,165
2,18B,CALAMUCHITA,CALERAS DE CALAMUCHITA,210,214,214,202,210
2,25A,CALAMUCHITA,CALMAYO,106,104,104,126,132
2,16B,CALAMUCHITA,CHAMPAQUI,46,38,31,12,10
2,17,CALAMUCHITA,EMBALSE,"6,044","6,336","6,604","7,104","7,463"
2,18,CALAMUCHITA,LA CRUZ,"1,451","1,444","1,449","1,536","1,579"
2,328A,CALAMUCHITA,LA CUMBRECITA,411,465,641,762,834
2,21,CALAMUCHITA,LAS BAJADAS,338,303,286,269,278
2,19,CALAMUCHITA,LOS CONDORES,"2,563","2,696","2,722","2,833","2,945"
2,25B,CALAMUCHITA,LOS MOLINOS,255,266,288,301,309
2,20,CALAMUCHITA,LOS REARTES,710,942,"1,031","1,328","1,513"
2,18A,CALAMUCHITA,LUTTI,189,187,181,157,157
2,22,CALAMUCHITA,RIO DE LOS SAUCES,"1,090","1,061","1,062","1,109","1,142"
2,24,CALAMUCHITA,RUMIPAL,"1,861","2,041","2,176","2,439","2,662"
2,25,CALAMUCHITA,SAN AGUSTIN,"2,729","2,794","2,902","3,066","3,165"
2,26B,CALAMUCHITA,SAN IGNACIO,137,126,127,130,153
2,26,CALAMUCHITA,SANTA ROSA,"8,238","9,317","10,165","11,640","12,509"
2,26A,CALAMUCHITA,SEGUNDA USINA,147,116,119,131,167
2,20B,CALAMUCHITA,VI.CIUD.PQUE.LOS REARTES,437,606,653,"1,095","1,368"
2,15A,CALAMUCHITA,VILLA AMANCAY,359,420,416,505,567
2,16C,CALAMUCHITA,VILLA BERNA,110,104,96,106,99
2,18C,CALAMUCHITA,VILLA CAÑADA DEL SAUCE,79,70,64,80,72
2,24A,CALAMUCHITA,VILLA DEL DIQUE,"2,249","2,600","2,889","3,325","3,550"
2,20A,CALAMUCHITA,VILLA GENERAL BELGRANO,"5,285","6,163","6,568","7,501","8,272"
2,16A,CALAMUCHITA,VILLA LA MERCED,69,75,55,34,101
2,18D,CALAMUCHITA,VILLA QUILLINZO,93,95,94,160,169
2,23,CALAMUCHITA,VILLA YACANTO,760,937,"1,026","1,443","1,673"
1,TODO,CAPITAL,CORDOBA,"949,161","990,289","1,045,948","1,075,606","1,109,229"
3,31A,COLON,AGUA DE ORO,"1,734","1,866","1,896","2,220","2,420"
3,27,COLON,ASCOCHINGA,"2,240","2,428","2,711","3,132","3,327"
3,28,COLON,CALERA,"12,465","14,177","15,668","17,439","18,809"
3,28A,COLON,CALERA CENTRAL,"7,141","8,555","10,290","12,301","13,522"
3,29,COLON,COLONIA CAROYA,"12,789","14,318","15,523","16,651","17,415"
3,30,COLON,COLONIA TIROLESA,"4,100","4,187","4,362","5,315","6,265"
3,33A,COLON,COLONIA VICENTE AGÜERO,216,235,292,277,269
3,31,COLON,EL MANZANO,937,931,964,"1,129","1,191"
3,32,COLON,GENERAL PAZ,"1,588","1,679","1,795","1,863","1,973"
3,33,COLON,JESUS MARIA,"23,411","26,313","27,143","28,407","29,710"
3,34,COLON,JUAREZ CELMAN,"6,317","7,344","8,007","9,863","11,360"
3,36,COLON,LA PUERTA,357,330,281,347,349
3,35,COLON,MALVINAS ARGENTINAS,"7,134","8,454","9,851","11,928","13,138"
3,40A,COLON,MENDIOLAZA,"4,147","5,487","6,903","9,937","11,529"
3,35A,COLON,MI GRANJA,598,736,763,915,"1,024"
3,37,COLON,RIO CEBALLOS,"13,511","15,306","16,338","18,297","19,465"
3,41A,COLON,SALDAN,"6,813","8,004","8,731","10,787","12,096"
3,38,COLON,SALSIPUEDES,"5,733","6,767","7,167","8,733","9,743"
3,39,COLON,SANTA TERESA,124,97,77,63,59
3,29A,COLON,TINOCO,265,262,261,263,283
3,40,COLON,UNQUILLO,"12,439","13,776","15,135","16,893","18,018"
3,41,COLON,VILLA ALLENDE,"20,172","23,028","25,958","28,954","30,499"
3,31B,COLON,VILLA CERRO AZUL,199,212,240,363,382
4,46B,CRUZ DEL EJE,ALTO DE LOS QUEBRACHOS,169,180,270,430,388
4,42,CRUZ DEL EJE,BAÑADO DE SOTO,582,576,560,711,722
4,43,CRUZ DEL EJE,CANDELARIA,125,93,75,51,40
4,54A,CRUZ DEL EJE,CANTERAS QUILPO,176,138,126,95,78
4,43C,CRUZ DEL EJE,CIENAGA DE BRITOS (DESAPARECIDO en 2017),12,7,5,6,
4,43B,CRUZ DEL EJE,CRUZ DE CAÑA,211,206,203,221,218
4,44,CRUZ DEL EJE,CRUZ DEL EJE,"21,087","22,377","24,341","25,016","26,084"
4,53B,CRUZ DEL EJE,EL ABRA,114,74,51,45,43
4,45,CRUZ DEL EJE,EL BRETE,980,924,895,"1,172","1,414"
4,46,CRUZ DEL EJE,GUANACO MUERTO,494,599,691,958,932
4,47,CRUZ DEL EJE,IGLESIA VIEJA,122,68,99,71,92
4,55A,CRUZ DEL EJE,LA BATEA,134,121,117,169,207
4,46A,CRUZ DEL EJE,LA CONCEPCION (Desaparecida en 2009 o 2011),29,,,,
4,48,CRUZ DEL EJE,LA HIGUERA,571,535,521,579,509
4,43A,CRUZ DEL EJE,LAS CAÑADAS,143,139,132,193,179
4,44A,CRUZ DEL EJE,LAS PLAYAS,485,481,483,618,754
4,50A,CRUZ DEL EJE,LOS CHAÑARITOS,546,560,614,769,802
4,53A,CRUZ DEL EJE,LOS LEONES,113,82,64,56,58
4,49,CRUZ DEL EJE,LOS SAUCES,111,104,90,82,91
4,50,CRUZ DEL EJE,MEDIA NARANJA,814,794,808,862,924
4,51,CRUZ DEL EJE,PASO VIEJO,824,855,824,978,"1,035"
4,52,CRUZ DEL EJE,PICHANAS,290,217,254,159,147
4,53,CRUZ DEL EJE,SAN ANTONIO,110,69,62,31,26
4,54,CRUZ DEL EJE,SAN MARCOS SIERRAS,"1,598","1,792","1,968","2,333","2,555"
4,51A,CRUZ DEL EJE,SANTA ANA,205,158,128,86,75
4,55,CRUZ DEL EJE,SERREZUELA,"2,269","2,307","2,565","2,662","2,675"
4,56,CRUZ DEL EJE,SOTO,"5,786","6,120","6,716","7,152","7,667"
4,57,CRUZ DEL EJE,TUCLAME,656,667,592,"1,219","1,322"
5,58,GENERAL ROCA,BRUZONE,201,227,235,240,262
5,59,GENERAL ROCA,BUCHARDO,"1,767","1,734","1,712","1,803","1,777"
5,60,GENERAL ROCA,DEL CAMPILLO,"2,863","2,916","3,117","3,214","3,192"
5,61,GENERAL ROCA,HUINCA RENANCO,"7,065","7,072","7,354","7,600","7,565"
5,62,GENERAL ROCA,ITALO,971,"1,006","1,076","1,091","1,068"
5,63,GENERAL ROCA,JOVITA,"3,623","3,962","4,119","4,281","4,398"
5,65,GENERAL ROCA,LECUEDER,33,24,22,18,19
5,66,GENERAL ROCA,MATTALDI,"1,588","1,579","1,599","1,633","1,635"
5,67,GENERAL ROCA,ONAGOITY,91,82,73,67,64
5,68,GENERAL ROCA,PINCEN,304,290,291,254,255
5,69,GENERAL ROCA,RANQUELES,66,55,55,51,45
5,70,GENERAL ROCA,VILLA HUIDOBRO,"4,536","4,644","4,878","4,969","5,029"
5,71,GENERAL ROCA,VILLA SARMIENTO,324,300,299,308,297
5,72,GENERAL ROCA,VILLA VALERIA,"2,283","2,399","2,463","2,687","2,778"
6,73,GRAL SAN MARTIN,ARROYO ALGODON,"1,060","1,124","1,145","1,492","1,521"
6,74,GRAL SAN MARTIN,ARROYO CABRAL,"2,522","2,543","2,762","2,890","2,967"
6,75,GRAL SAN MARTIN,AUSONIA,785,858,890,946,977
6,76,GRAL SAN MARTIN,CHAZON,973,976,961,994,"1,024"
6,77,GRAL SAN MARTIN,ETRURIA,"3,283","3,385","3,433","3,620","3,719"
6,78,GRAL SAN MARTIN,LA LAGUNA,"1,225","1,255","1,341","1,355","1,384"
6,79,GRAL SAN MARTIN,LA PLAYOSA,"2,309","2,546","2,703","2,848","2,905"
6,80,GRAL SAN MARTIN,LUCA,606,619,603,588,587
6,81,GRAL SAN MARTIN,MOJARRAS,114,99,77,68,61
6,82,GRAL SAN MARTIN,PALESTINA,507,539,528,539,568
6,83,GRAL SAN MARTIN,PASCO,"1,020","1,107","1,134","1,195","1,248"
6,88B,GRAL SAN MARTIN,SAN ANTONIO DE YUCAT (Desaparecido en 2017),61,45,21,12,
6,84,GRAL SAN MARTIN,SANABRIA,80,67,50,40,34
6,88A,GRAL SAN MARTIN,SANTA RITA (Desaparecido en 2017),30,21,9,2,
6,86,GRAL SAN MARTIN,SILVIO PELLICO,635,656,650,630,633
6,87,GRAL SAN MARTIN,TICINO,"1,608","1,800","1,914","1,998","2,017"
6,88,GRAL SAN MARTIN,TIO PUJIO,"2,560","2,759","2,886","3,107","3,192"
6,89,GRAL SAN MARTIN,VILLA MARIA,"57,785","63,397","67,781","70,985","72,455"
6,90,GRAL SAN MARTIN,VILLA NUEVA,"13,175","14,162","15,811","17,530","18,740"
7,91,ISCHILIN,AVELLANEDA,499,458,435,485,501
7,92,ISCHILIN,CAÑADA DE RIO PINTO,443,391,399,398,376
7,91A,ISCHILIN,CANTERAS,37,23,20,23,23
7,94,ISCHILIN,CHUÑA,544,533,597,593,601
7,93,ISCHILIN,COPACABANA,309,283,310,347,357
7,95,ISCHILIN,DEAN FUNES,"16,064","16,880","17,922","18,352","19,296"
7,96,ISCHILIN,HUASCHA (Desaparecido en 2009 o 2011),44,,,,
7,97,ISCHILIN,ISCHILIN,162,103,90,76,65
7,98,ISCHILIN,JAIME PETER,106,76,60,55,59
7,91B,ISCHILIN,LOS POZOS,98,103,105,118,131
7,96A,ISCHILIN,OLIVARES SAN NICOLAS,464,544,574,571,579
7,99,ISCHILIN,QUILINO ESTACION,"3,607","3,747","3,922","4,200","4,210"
7,100,ISCHILIN,QUILINO VILLA,882,888,875,983,"1,189"
7,101,ISCHILIN,TOYOS,134,100,91,82,88
7,91C,ISCHILIN,VILLA GUTIERREZ,189,206,237,279,305
8,102,JUAREZ CELMAN,ALEJANDRO,"4,249","4,479","4,744","5,040","5,183"
8,103,JUAREZ CELMAN,ASSUNTA,86,72,67,74,94
8,105,JUAREZ CELMAN,BENGOLEA,881,895,912,971,993
8,106,JUAREZ CELMAN,CABRERA,"8,437","9,166","9,752","10,363","10,534"
8,107,JUAREZ CELMAN,CARNERILLO,"1,648","1,774","1,796","1,884","1,929"
8,108,JUAREZ CELMAN,CHARRAS,870,920,957,"1,041","1,086"
