Seccion Nro,Seccion Nombre,Circuito Nro,Circuito Nombre,Escuela,Dirección,Ciudad,Provincia,Pais,Electores,Location, Latitude,Longitude,Found,Quality,Source
1,CAPITAL,12F,JOSE HERNANDEZ,IPEM 167 JOSE MANUEL ESTRADA,O HIGGINS 2656,Córdoba,Córdoba,Argentina,3440,"O HIGGINS 2656, Córdoba, Córdoba, Argentina",-31.4413026,-64.1687677,"Av. O' Higgins 2656, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,14L,VILLA BELGRANO,ESC RICARDO PALMA,D ALEMBERT Y GAUSS,Córdoba,Córdoba,Argentina,2654,"D ALEMBERT Y GAUSS, Córdoba, Córdoba, Argentina",-31.3609391,-64.2526777,"Carlos Federico Gauss & Juan Dalembert, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,12H,LOS CERVECEROS,ESC JOSE M ESTRADA,AV O HIGGINS KM 8 1/2,Córdoba,Córdoba,Argentina,2016,"AV O HIGGINS KM 8 1/2, Córdoba, Córdoba, Argentina",-31.4703619,-64.1684118,"Av. O' Higgins, Córdoba, Argentina",Partial Match,Google
1,CAPITAL,12H,LOS CERVECEROS,J DE INF RAUL A.FERREYRA,O HIGGINS 3500,Córdoba,Córdoba,Argentina,1008,"O HIGGINS 3500, Córdoba, Córdoba, Argentina",-31.454309,-64.1688934,"Av. O' Higgins 3500, X5014IGT Córdoba, Argentina",Partial Match,Google
16,RIO SEGUNDO,239,ONCATIVO,ESC JOSE MARIA PAZ,ONCATIVO,ONCATIVO,Córdoba,Argentina,4110,"ONCATIVO, ONCATIVO, Córdoba, Argentina",-31.4093903,-64.1666336,"1398 X5004FHR, Oncativo 1300, X5004FHR Córdoba, Argentina",Match,Google
16,RIO SEGUNDO,239,ONCATIVO,ESC DE COM L LUGONES(IPEM 158),ONCATIVO,ONCATIVO,Córdoba,Argentina,2394,"ONCATIVO, ONCATIVO, Córdoba, Argentina",-31.4093903,-64.1666336,"1398 X5004FHR, Oncativo 1300, X5004FHR Córdoba, Argentina",Match,Google
16,RIO SEGUNDO,239,ONCATIVO,ESC EMILIO F OLMOS,ONCATIVO,ONCATIVO,Córdoba,Argentina,2394,"ONCATIVO, ONCATIVO, Córdoba, Argentina",-31.4093903,-64.1666336,"1398 X5004FHR, Oncativo 1300, X5004FHR Córdoba, Argentina",Match,Google
7,ISCHILIN,99,QUILINO ESTACION,ESC.PROVINCIA DE BS.AIRES,MARIANO MORENO 220,QUILINO ESTACION,Córdoba,Argentina,2585,"MARIANO MORENO 220, QUILINO ESTACION, Córdoba, Argentina",-31.415407,-64.171007,"24 de Septiembre 882, General Paz, X5004FTD Córdoba, Argentina",Match,Google
18,SAN ALBERTO,261,BROCHERO,ESC JOSE GABRIEL BROCHERO,MARIANO MORENO 291,BROCHERO,Córdoba,Argentina,1992,"MARIANO MORENO 291, BROCHERO, Córdoba, Argentina",-31.415407,-64.171007,"24 de Septiembre 882, General Paz, X5004FTD Córdoba, Argentina",Match,Google
23,TERCERO ARRIBA,348,RIO TERCERO,ESC PROV R E DE SAN MARTIN,25 DE FEBRERO 171,RIO TERCERO,Córdoba,Argentina,4128,"25 DE FEBRERO 171, RIO TERCERO, Córdoba, Argentina",-32.178508,-64.1176893,"25 de Febrero 171, Río Tercero, Córdoba, Argentina",Match,Google
