Seccion Nro,Seccion Nombre,Circuito Nro,Circuito Nombre,Escuela,Dirección,Ciudad,Provincia,Pais,Electores,Geo
6,GRAL SAN MARTIN,89,VILLA MARIA,INSTITUTO DEL ROSARIO,BV.ALVEAR 68,VILLA MARIA,Córdoba,Argentina,10695,"BV.ALVEAR 68, VILLA MARIA, Córdoba, Argentina"
6,GRAL SAN MARTIN,89,VILLA MARIA,ESC.N.V.MERCANTE,SOBRAL 378,VILLA MARIA,Córdoba,Argentina,10337,"SOBRAL 378, VILLA MARIA, Córdoba, Argentina"
1,CAPITAL,4A,PUEBLO LAS FLORES,ESC SAN FRANCISCO DE ASIS,GUARDADO 184,Córdoba,Córdoba,Argentina,9802,"GUARDADO 184, Córdoba, Córdoba, Argentina"
3,COLON,41,VILLA ALLENDE,INST GRAL S.MARTIN/17 DE AGOST,25 DE MAYO ESQ. TABLADA,VILLA ALLENDE,Córdoba,Argentina,9655,"25 DE MAYO ESQ. TABLADA, VILLA ALLENDE, Córdoba, Argentina"
6,GRAL SAN MARTIN,89,VILLA MARIA,INST.LA SANTISIMA TRINIDAD,SARSFIELD 1.072,VILLA MARIA,Córdoba,Argentina,9315,"SARSFIELD 1.072, VILLA MARIA, Córdoba, Argentina"
13,RIO CUARTO,188,RIO CUARTO,ESC.NORMAL COMERCIAL,BAIGORRIA 463,RIO CUARTO,Córdoba,Argentina,9288,"BAIGORRIA 463, RIO CUARTO, Córdoba, Argentina"
1,CAPITAL,10G,OBSERVATORIO,E.N.E.T. N° 4 COPERNICO,MARIANO MORENO 551,Córdoba,Córdoba,Argentina,8840,"MARIANO MORENO 551, Córdoba, Córdoba, Argentina"
1,CAPITAL,13G,PARQUE LICEO,ESC ESPIRITU SANTO,ISAAC 4.847,Córdoba,Córdoba,Argentina,8480,"ISAAC 4.847, Córdoba, Córdoba, Argentina"
13,RIO CUARTO,188,RIO CUARTO,ESC.NORM.NAC.MIXTA,CONSTITUCION 1040,RIO CUARTO,Córdoba,Argentina,8280,"CONSTITUCION 1040, RIO CUARTO, Córdoba, Argentina"
26,UNION,375,BELL VILLE,ESC.NORMAL F.ALCORTA,25 DE MAYO 135,BELL VILLE,Córdoba,Argentina,7568,"25 DE MAYO 135, BELL VILLE, Córdoba, Argentina"
1,CAPITAL,4B,VILLA REVOL,INST EDUC NTRA SEÑORA,INCA MANCO 3450,Córdoba,Córdoba,Argentina,7464,"INCA MANCO 3450, Córdoba, Córdoba, Argentina"
12,PUNILLA,156,VILLA CARLOS PAZ,INST ALFONSINA STORNI(EX IESS),SOLIS 283,VILLA CARLOS PAZ,Córdoba,Argentina,7245,"SOLIS 283, VILLA CARLOS PAZ, Córdoba, Argentina"
1,CAPITAL,4,NUEVA CORDOBA,COL NACIONAL DEAN FUNES,PERU 10,Córdoba,Córdoba,Argentina,6880,"PERU 10, Córdoba, Córdoba, Argentina"
1,CAPITAL,7B,ALTA CORDOBA,ESC MANUEL LUCERO,MANUEL LUCERO 560,Córdoba,Córdoba,Argentina,6527,"MANUEL LUCERO 560, Córdoba, Córdoba, Argentina"
1,CAPITAL,10G,OBSERVATORIO,COL   NUESTRA SEÑORA DE NIEVA,AYACUCHO 442,Córdoba,Córdoba,Argentina,6445,"AYACUCHO 442, Córdoba, Córdoba, Argentina"
1,CAPITAL,11D,LOS NARANJOS,INST JESUS MARIA,VIEYTES SUD 1607,Córdoba,Córdoba,Argentina,6196,"VIEYTES SUD 1607, Córdoba, Córdoba, Argentina"
13,RIO CUARTO,186,PUEBLO ALBERDI,INST LANTERIANO LA MERCED,BELISARIO ROLDAN 275,PUEBLO ALBERDI,Córdoba,Argentina,6156,"BELISARIO ROLDAN 275, PUEBLO ALBERDI, Córdoba, Argentina"
20,SAN JUSTO,298,LAS VARILLAS,ESC NORM SUP D VELEZ SARSFIELD,ESCRIBANO LUIS MORELLI 188,LAS VARILLAS,Córdoba,Argentina,6156,"ESCRIBANO LUIS MORELLI 188, LAS VARILLAS, Córdoba, Argentina"
1,CAPITAL,10,BELLA VISTA,INST EDUCACION CORDOBA,FERREYRA Y FRIULI,Córdoba,Córdoba,Argentina,6138,"FERREYRA Y FRIULI, Córdoba, Córdoba, Argentina"
13,RIO CUARTO,165,BANDA NORTE,MERC DEL NIÑO JESUS/S FCO ASIS,VICTOR HUGO 885,BANDA NORTE,Córdoba,Argentina,6138,"VICTOR HUGO 885, BANDA NORTE, Córdoba, Argentina"
1,CAPITAL,11C,LAS PALMAS,ESC GRAL SAN MARTIN,AV COLON 4751,Córdoba,Córdoba,Argentina,5865,"AV COLON 4751, Córdoba, Córdoba, Argentina"
12,PUNILLA,156,VILLA CARLOS PAZ,ESC CARLOS NICANDRO PAZ,SAN MARTIN 255,VILLA CARLOS PAZ,Córdoba,Argentina,5865,"SAN MARTIN 255, VILLA CARLOS PAZ, Córdoba, Argentina"
13,RIO CUARTO,188,RIO CUARTO,COL NTRA SRA DEL CARMEN,BAIGORRIA 373,RIO CUARTO,Córdoba,Argentina,5865,"BAIGORRIA 373, RIO CUARTO, Córdoba, Argentina"
12,PUNILLA,156,VILLA CARLOS PAZ,INST BILINGUE DANTE ALIGHIERI,ALFONSINA STORNI Y LOS ALERCES,VILLA CARLOS PAZ,Córdoba,Argentina,5848,"ALFONSINA STORNI Y LOS ALERCES, VILLA CARLOS PAZ, Córdoba, Argentina"
23,TERCERO ARRIBA,348,RIO TERCERO,INST ALEXIS CARREL,GRAL PAZ Y ESPAÑA 390,RIO TERCERO,Córdoba,Argentina,5848,"GRAL PAZ Y ESPAÑA 390, RIO TERCERO, Córdoba, Argentina"
