X,Y,LATITUD,LONGITUD,XGK,YGK,NOMLOC_10,NOMMUNI_10,CODMUNI_10,PROV,DEPTO,NOM_DEPTO,CODLOC
-63.055906074113516,-32.391286086890368,32 23 27,63 03 27,6416773.0000000000,4494591.0000000000,ANA ZUMARAN,ANA ZUMARAN,3232,14,182,UNION,030
-62.728741919197837,-32.766461223713769,32 45 49,62 43 40,6375386.0000000000,4525506.0000000000,VILLA LOS PATOS,VILLA LOS PATOS,3246,14,182,UNION,280
-63.047604989032394,-33.539047476535963,33 32 18,63 02 53,6289511.0000000000,4495548.0000000000,SAN SEVERO,,,14,182,UNION,260
-63.101818675090051,-32.492455378641822,32 29 28,63 06 10,6405649.0000000000,4490338.0000000000,RAMON J CARCANO,,,14,182,UNION,230
-62.590347885290448,-32.612303856370517,32 36 41,62 35 25,6392252.0000000000,4538451.0000000000,MONTE LE�A,MONTE LE�A,1673,14,182,UNION,160
-62.513605390972266,-32.333604654740007,32 19 57,62 30 49,6423128.0000000000,4545795.0000000000,CHILIBROSTE,CHILIBROSTE,1631,14,182,UNION,090
-62.731459156230613,-33.464457352264716,33 27 49,62 43 57,6297780.0000000000,4524878.0000000000,COLONIA BREMEN,COLONIA BREMEN,3239,14,182,UNION,120
-62.715025498649986,-33.30068935726365,33 18 01,62 42 48,6315875.0000000000,4526702.0000000000,COLONIA BISMARCK,COLONIA BISMARCK,1645,14,182,UNION,110
-63.027038842082263,-32.589609537310395,32 35 19,63 01 37,6394842.0000000000,4497461.0000000000,BALLESTEROS SUD,BALLESTEROS SUD,1603,14,182,UNION,050
-62.914332594748394,-33.698480606416553,33 41 42,62 54 41,6272145.0000000000,4508207.0000000000,ALDEA SANTA MARIA,ALDEA SANTA MARIA,3225,14,182,UNION,010
-62.884683805226679,-32.346031545254441,32 20 46,62 53 07,6421729.0000000000,4510793.0000000000,ALTO ALEGRE,ALTO ALEGRE,1589,14,182,UNION,020
-62.729744817487372,-33.590920109904808,33 35 24,62 43 49,6283735.0000000000,4525027.0000000000,BENJAMIN GOULD,BENJAMIN GOULD,1617,14,182,UNION,070
-62.633009019647332,-32.213860671075579,32 12 46,62 37 59,6436450.0000000000,4534598.0000000000,SAN ANTONIO DE LITIN,SAN ANTONIO DE LITIN,1722,14,182,UNION,240
-62.653119027063262,-32.309154016442321,32 18 29,62 39 11,6425890.0000000000,4532668.0000000000,CINTRA,CINTRA,1638,14,182,UNION,100
-62.840572337603014,-33.880975964703374,33 52 51,62 50 27,6251524.0000000000,4514735.0000000000,PUEBLO ITALIANO,PUEBLO ITALIANO,1715,14,182,UNION,220
-63.032910248792852,-32.814163461253244,32 48 47,63 01 58,6369940.0000000000,4496918.0000000000,IDIAZABAL,IDIAZABAL,1652,14,182,UNION,130
-63.098908233884835,-33.748115050406426,33 44 49,63 05 56,6266355.0000000000,4490836.0000000000,VIAMONTE,VIAMONTE,1736,14,182,UNION,270
-62.770002186482479,-33.173053100985165,33 10 19,62 46 12,6330116.0000000000,4521453.0000000000,WENCESLAO ESCALANTE,WENCESLAO ESCALANTE,1743,14,182,UNION,290
-63.041047481580087,-33.125823059537616,33 07 30,63 02 34,6335355.0000000000,4496016.0000000000,PASCANAS,PASCANAS,1708,14,182,UNION,210
-62.865862306630525,-32.841134247619785,32 50 29,62 51 58,6366813.0000000000,4512540.0000000000,ORDO�EZ,ORDO�EZ,1701,14,182,UNION,200
-62.481977213813707,-32.631340151354181,32 37 49,62 28 55,6390096.0000000000,4548613.0000000000,SAN MARCOS,SAN MARCOS SUD,1729,14,182,UNION,250
-62.83601099772131,-32.594658847342735,32 35 37,62 50 01,6394271.0000000000,4515395.0000000000,MORRISON,MORRISON,1687,14,182,UNION,180
-62.983301125525792,-32.546390973289391,32 32 43,62 58 60,6399635.0000000000,4501569.0000000000,BALLESTEROS,BALLESTEROS,1596,14,182,UNION,040
-62.310337369448668,-32.367229743772263,32 22 00,62 18 43,6419237.0000000000,4564745.0000000000,NOETINGER,NOETINGER,1694,14,182,UNION,190
-62.855984240541972,-33.153461333511551,33 09 11,62 51 22,6332241.0000000000,4513427.0000000000,LABORDE,LABORDE,1666,14,182,UNION,150
-62.600927659537831,-33.20608526094621,33 12 16,62 36 05,6326460.0000000000,4537178.0000000000,MONTE MAIZ,MONTE MAIZ,1680,14,182,UNION,170
-62.680277435229883,-32.884605586005058,32 53 00,62 40 49,6362083.0000000000,4529919.0000000000,JUSTINIANO POSSE,JUSTINIANO POSSE,1659,14,182,UNION,140
-62.885595511442006,-33.563421814596893,33 33 45,62 53 08,6286838.0000000000,4510623.0000000000,CANALS,CANALS,1624,14,182,UNION,080
-62.689115625754887,-32.629575666310913,32 37 43,62 41 21,6390368.0000000000,4529174.0000000000,BELL VILLE,BELL VILLE,1610,14,182,UNION,060
-63.949703063576187,-30.355133976677187,30 21 17,63 56 48,6642163.0000000000,4408986.0000000000,SAN JOSE DE LA DORMIDA,SAN JOSE DE LA DORMIDA,1561,14,175,TULUMBA,080
-64.122599221809523,-30.396075092010879,30 23 51,64 07 23,6637254.0000000000,4392060.0000000000,VILLA TULUMBA,VILLA TULUMBA,1582,14,175,TULUMBA,110
-64.526732562074798,-29.763276158262819,29 45 58,64 31 39,6706786.0000000000,4352273.0000000000,EL TUSCAL,LUCIO VICTORIO MANSILLA,1554,14,175,TULUMBA,040
-64.707441994672465,-29.805043415772325,29 48 23,64 42 24,6702095.0000000000,4335011.0000000000,LUCIO V MANSILLA,LUCIO VICTORIO MANSILLA,1554,14,175,TULUMBA,060
-64.624395287972632,-30.009073678302073,30 00 33,64 37 30,6679733.0000000000,4343201.0000000000,SAN JOSE DE LAS SALINAS,SAN JOSE DE LAS SALINAS,1568,14,175,TULUMBA,090
-63.926643530428471,-30.16978410277078,30 10 05,63 55 47,6662846.0000000000,4410457.0000000000,CHURQUI CA�ADA,CHURQUI CA�ADA,3204,14,175,TULUMBA,020
-63.864931780804625,-30.176091403564413,30 10 34,63 52 05,6662015.0000000000,4416400.0000000000,EL RODEO,EL RODEO,3211,14,175,TULUMBA,030
-63.473785016548554,-30.431193045511748,30 25 53,63 28 26,6633924.0000000000,4454485.0000000000,ROSARIO DEL SALADILLO,ROSARIO DEL SALADILLO,3218,14,175,TULUMBA,070
-64.154267470967156,-30.090302177081934,30 05 20,64 09 21,6671450.0000000000,4388562.0000000000,SAN PEDRO NORTE,SAN PEDRO NORTE,1575,14,175,TULUMBA,100
-63.595036825923692,-30.378933307696311,30 22 53,63 35 48,6639434.0000000000,4442651.0000000000,LAS ARRIAS,LAS ARRIAS,1547,14,175,TULUMBA,050
-64.234624770599282,-30.872847138775867,30 52 21,64 13 46,6584480.0000000000,4382410.0000000000,SANTA CATALINA,LA PAMPA,3183,14,168,TOTORAL,080
-64.110938149409179,-30.775409880837415,30 46 27,64 06 32,6595500.0000000000,4393835.0000000000,SARMIENTO,SARMIENTO,1526,14,168,TOTORAL,090
-63.724710743190982,-30.737508122337125,30 44 14,63 43 25,6599916.0000000000,4430698.0000000000,CA�ADA DE LUQUE,CA�ADA DE LUQUE,1512,14,168,TOTORAL,020
-63.800969346523608,-30.838778977423548,30 50 21,63 48 03,6588541.0000000000,4423387.0000000000,CANDELARIA SUR,CANDELARIA SUD,3169,14,168,TOTORAL,010
-64.272477155568879,-30.943495502931537,30 56 36,64 16 36,6576587.0000000000,4378008.0000000000,LA PAMPA,LA PAMPA,3183,14,168,TOTORAL,040
-64.08518821224024,-30.944173683934363,30 56 35,64 05 42,6576787.0000000000,4395359.0000000000,SINSACATE,SINSACATE,1533,14,168,TOTORAL,110
-64.06779075623507,-30.704737371783157,30 42 14,64 04 06,6603338.0000000000,4397656.0000000000,VILLA DEL TOTORAL,VILLA DEL TOTORAL,1540,14,168,TOTORAL,120
-63.652067443158096,-30.57339631917699,30 34 23,63 39 06,6618154.0000000000,4437479.0000000000,CAPILLA DE SITON,CAPILLA DE SITON,3176,14,168,TOTORAL,030
-63.985028787176418,-30.476200746344997,30 28 31,63 59 06,6628754.0000000000,4405411.0000000000,SIMBOLAR,SIMBOLAR,3197,14,168,TOTORAL,100
